CHEMBL1242991,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL1242992,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL246813,Cc1ccc(-c2csc(N/N=C3\CCCCC3C)n2)cc1
CHEMBL1243025,CC1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL1243026,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL1243371,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL1243399,CC1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL1243400,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL1243401,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL1254552,Cc1cc2cc(NC(=O)c3ccc(Cl)c(Cl)c3)ccc2[nH]1
CHEMBL1254552,Cc1cc2cc(NC(=O)c3ccc(Cl)c(Cl)c3)ccc2[nH]1
CHEMBL1254625,O=C(/C=C/c1cccc(Cl)c1)Oc1ccc2c(c1)CC(=O)O2
CHEMBL247834,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL498694,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL1254017,N#Cc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1
CHEMBL1253926,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1
CHEMBL1253847,Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)c(F)c1
CHEMBL1253845,Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1
CHEMBL248050,c1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1
CHEMBL1253763,CC1CCC(=NNc2nc(-c3ccc(C#N)cc3)cs2)CC1
CHEMBL1255019,CC1CCC(=NNc2nc(-c3ccc(F)cc3F)cs2)CC1
CHEMBL1254934,CC1CCC(=NNc2nc(-c3ccc(F)cc3)cs2)CC1
CHEMBL374237,CC1CCC(=NNc2nc(-c3ccccc3)cs2)CC1
CHEMBL1254851,N#Cc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL1254850,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL1254763,Clc1ccc(-c2csc(NN=C3CCCCC3)n2)c(Cl)c1
CHEMBL1253699,Fc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL1253693,Clc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL220495,c1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL399572,N#Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL247834,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL247833,COc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL246809,Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL1253680,Fc1ccc(-c2csc(NN=C3CCCC3)n2)c(F)c1
CHEMBL1253614,Clc1ccc(-c2csc(NN=C3CCCC3)n2)c(Cl)c1
CHEMBL1253613,Fc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL246811,Clc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL386941,c1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL1242938,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL1242992,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL1242991,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL1243401,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL1243400,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL497674,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL1243400,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL1243401,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL1243399,CC1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1
CHEMBL1243026,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL1243371,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL1243025,CC1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL246813,Cc1ccc(-c2csc(N/N=C3\CCCCC3C)n2)cc1
CHEMBL1242991,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL1242992,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL1240558,CC1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1
CHEMBL1242938,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL1242964,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL1242937,CC1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL1254017,N#Cc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1
CHEMBL1253926,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1
CHEMBL1253847,Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)c(F)c1
CHEMBL1253845,Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1
CHEMBL248050,c1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1
CHEMBL1253763,CC1CCC(=NNc2nc(-c3ccc(C#N)cc3)cs2)CC1
CHEMBL1255019,CC1CCC(=NNc2nc(-c3ccc(F)cc3F)cs2)CC1
CHEMBL1254934,CC1CCC(=NNc2nc(-c3ccc(F)cc3)cs2)CC1
CHEMBL374237,CC1CCC(=NNc2nc(-c3ccccc3)cs2)CC1
CHEMBL1254851,N#Cc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL1254850,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL1254763,Clc1ccc(-c2csc(NN=C3CCCCC3)n2)c(Cl)c1
CHEMBL220495,c1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL1253693,Clc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL1253699,Fc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1
CHEMBL399572,N#Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL453703,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
CHEMBL247833,COc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL246809,Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL1253680,Fc1ccc(-c2csc(NN=C3CCCC3)n2)c(F)c1
CHEMBL1253614,Clc1ccc(-c2csc(NN=C3CCCC3)n2)c(Cl)c1
CHEMBL1253613,Fc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL246811,Clc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL386941,c1ccc(-c2csc(NN=C3CCCC3)n2)cc1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL1272057,CC(C)=CCOc1ccc(C2=NN(C(N)=S)C(c3ccc(OCc4ccccc4)cc3)C2)c(O)c1
CHEMBL1271944,CC(=O)N1N=C(c2ccc(OCC=C(C)C)cc2O)CC1c1ccc(OCc2ccccc2)cc1
CHEMBL1643121,O=C(Nc1ccc(I)cc1)c1coc2ccccc2c1=O
CHEMBL1643123,CSc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1
CHEMBL1643124,Cc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1
CHEMBL1642670,O=C1Nc2ccc(OCc3ccccc3)cc2C1=O
CHEMBL1642671,O=C1Nc2cc(OCc3ccccc3)ccc2C1=O
CHEMBL1642678,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O
CHEMBL1642679,O=C1Nc2ccc(Oc3ccc(Cl)cc3)cc2C1=O
CHEMBL466872,O=C1Nc2ccc(/C=C/c3ccccc3)cc2C1=O
CHEMBL1642670,O=C1Nc2ccc(OCc3ccccc3)cc2C1=O
CHEMBL1642671,O=C1Nc2cc(OCc3ccccc3)ccc2C1=O
CHEMBL1642678,O=C1Nc2ccc(CCCCc3ccccc3)cc2C1=O
CHEMBL1642679,O=C1Nc2ccc(Oc3ccc(Cl)cc3)cc2C1=O
CHEMBL466872,O=C1Nc2ccc(/C=C/c3ccccc3)cc2C1=O
CHEMBL450239,O=C1Nc2cc(/C=C/c3ccccc3)ccc2C1=O
CHEMBL1645548,Cc1nccc2c1[nH]c1cc(OCC3CCCCC3)ccc12
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL1761760,COc1ccc2cc(-c3cccs3)c(=O)oc2c1
CHEMBL1761761,COc1ccc2cc(-c3ccsc3)c(=O)oc2c1
