CHEMBL141576,C=CCN(Cc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(N)c2c1
CHEMBL23977,Nc1nc(O)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1
CHEMBL141648,C#CCN(Cc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)c1ccc2nc(N)nc(N)c2c1
CHEMBL37061,Nc1nc(N)c2c(Cl)c(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1
CHEMBL423123,Nc1nc(N)c2cc(NCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1
CHEMBL305177,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL304397,CN(Cc1ccc2nc(N)nc(N)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
CHEMBL39851,Nc1nc(O)c2c(Cl)c(NCc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1
CHEMBL336487,CC1=C(Sc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)C2C(=O)NC(N)=NC2N1
CHEMBL443763,Nc1ncc(CCCc2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)c(N)n1
CHEMBL58366,COc1cc(Cc2cnc(N)nc2N)cc2c(N(C)C)cc(C)nc12
CHEMBL294377,COc1cc(C)c2ccc(Cc3cnc(N)nc3N)cc2n1
CHEMBL1160181,C#CN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1
CHEMBL35921,NCCCC(NC(=O)c1ccc(NCc2ccc3nc(N)nc(N)c3n2)cc1)C(=O)O
CHEMBL280864,NCCCC(NC(=O)c1ccc(NCc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)O
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL1160192,C#CN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1
CHEMBL32439,NCCCC(NC(=O)c1ccc(NCc2ccc3nc(N)nc(N)c3c2)cc1)C(=O)O
CHEMBL32691,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCCNCC(=O)O)C(=O)O)cc1
CHEMBL36083,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCCN)C(=O)O)cc1
CHEMBL345708,Cc1c(CNc2ccc(OC(F)F)cc2)cnc2nc(N)nc(N)c12
CHEMBL147256,Cc1ccc(Cl)cc1NCc1cnc2nc(N)nc(N)c2c1C
CHEMBL23713,COc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1
CHEMBL23383,Cc1ccc(C)c(NCc2cnc3nc(N)nc(N)c3c2C)c1
CHEMBL146968,Cc1cc(NCc2cnc3nc(N)nc(N)c3c2C)c(Cl)cc1F
CHEMBL23569,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1
CHEMBL347061,Cc1ccc(F)cc1NCc1cnc2nc(N)nc(N)c2c1C
CHEMBL147124,Cc1c(Cl)cccc1NCc1cnc2nc(N)nc(N)c2c1C
CHEMBL354121,O=C(O)CCC(NC(=O)c1ccc(OCc2ccc3ncnc(O)c3c2)cc1)C(=O)O
CHEMBL148814,Cc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1Br
CHEMBL150470,Cc1cc(Cl)ccc1NCc1cnc2nc(N)nc(N)c2c1C
CHEMBL283518,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC
CHEMBL359144,Cc1c(CNc2ccc3ccc4cccc5ccc2c3c45)cnc2nc(N)nc(N)c12
CHEMBL23416,Cc1c(CNc2ccc(Cl)cc2)cnc2nc(N)nc(N)c12
CHEMBL23867,Cc1c(CNc2cccc3ccccc23)cnc2nc(N)nc(N)c12
CHEMBL347088,Cc1c(CNc2ccccc2OC(F)F)cnc2nc(N)nc(N)c12
CHEMBL23076,COc1ccc(C(F)(F)F)cc1N(C)Cc1cnc2nc(N)nc(N)c2c1C
CHEMBL150382,Cc1cc(NCc2cnc3nc(N)nc(N)c3c2C)ccc1Br
CHEMBL81820,Cc1c(CNc2ccc(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12
CHEMBL282948,Cc1c(CNc2cccc3c2CCCC3)cnc2nc(N)nc(N)c12
CHEMBL149101,Cc1c(CNc2cnc3ccccc3c2)cnc2nc(N)nc(N)c12
CHEMBL81119,Cc1c(CNc2ccccc2Cl)cnc2nc(N)nc(N)c12
CHEMBL23963,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(C(F)(F)F)c1
CHEMBL148877,Cc1cc(Br)ccc1NCc1cnc2nc(N)nc(N)c2c1C
CHEMBL22623,COc1cc(OC)cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1
CHEMBL150317,Cc1c(CNc2ccc(Cl)c3ccccc23)cnc2nc(N)nc(N)c12
CHEMBL147504,COc1cc(-c2ccccc2)ccc1NCc1cnc2nc(N)nc(N)c2c1C
CHEMBL151947,CCCOc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1OC
CHEMBL23532,COc1cc(NCc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL151367,Cc1c(CNc2ccc3ccccc3c2)cnc2nc(N)nc(N)c12
CHEMBL279705,COc1ccc(C)cc1NCc1cnc2nc(N)nc(N)c2c1C
CHEMBL347974,Cc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1Cl
CHEMBL346666,Cc1c(CNc2cccc3cnccc23)cnc2nc(N)nc(N)c12
CHEMBL150082,Cc1c(CNc2ccc3c(c2)Cc2ccccc2-3)cnc2nc(N)nc(N)c12
CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
